	date	air_hum	air_hum_min	air_hum_max	air_temp	air_temp_min	air_temp_max	pluvm	down_mildew	powdery_mildew	botrytis	erysiphe
83	5/20/2020	81.04081633	62	91.7	18.23857143	15.31	21.64	0.069387755	1	1	0	0
84	5/21/2020	63.62765957	37.1	90.8	19.64212766	11.88	26.98	0.008510638	1	1	0	0
85	5/22/2020	59.14375	35.1	83.5	20.65166667	11.81	28.84	0.004166667	0	0	0	0
86	5/23/2020	48.77083333	34.9	84.1	23.87458333	14.54	30.62	0	0	0	0	0
87	5/24/2020	60.53125	38.8	87.2	20.79395833	13.48	25.12	0	0	0	0	0
88	5/25/2020	55.32291667	24.8	85.6	20.079375	11.5	28.78	0	0	0	0	0
89	5/26/2020	48.45	29.1	73.6	19.78875	12.31	24.34	0	0	0	0	0
90	5/27/2020	49.84375	27	74.9	17.805625	9.88	25.25	0	0	0	0	0
91	5/28/2020	46.51666667	29.8	73.6	19.26895833	11.29	27.45	0	0	0	0	0
92	5/29/2020	77.33	50.7	93.8	14.7842	11	19.53	0.06	0	0	0	0
93	5/30/2020	63.81914894	41.4	89.4	17.11425532	10.24	23.27	0	1	1	0	0
94	5/31/2020	65.30833333	41.4	86.8	17.376875	12.06	24.79	0	1	1	0	0
95	6/1/2020	58.38541667	33.5	84.8	19.590625	12.52	27.04	0	1	1	0	0
96	6/2/2020	51.575	30.8	74.9	21.58083333	12.46	29.97	0	1	1	0	0
97	6/3/2020	54.54791667	38.3	80.1	21.89875	14.07	28.49	0	1	1	0	0
98	6/4/2020	74.73673469	47.7	93.5	18.33938776	12.43	24.24	0.110204082	0	0	0	0
99	6/5/2020	71.30638298	41.5	95.6	20.38276596	14.28	26.98	0.034042553	0	0	0	0
100	6/6/2020	59.35416667	38.2	94.4	22.241875	11.86	29.72	0	0	0	0	0
101	6/7/2020	60.52244898	39	91.6	22.23	12.78	28.32	0.040816327	1	1	0	0
102	6/8/2020	83.76326531	70.4	95.1	19.52204082	14.13	24.88	0.065306122	1	1	0	0
103	6/9/2020	77.4375	48.5	96.2	17.69541667	9.88	26.29	0.016666667	1	1	0	0
104	6/10/2020	65.05319149	38.4	94.2	18.9712766	12.21	25.84	0	1	1	0	0
105	6/11/2020	76.40816327	46.7	94.1	17.48285714	10.62	25.35	0.048979592	1	1	0	0
106	6/12/2020	63.80625	38.5	93.9	21.06333333	11.42	29.04	0	0	0	0	0
107	6/13/2020	65.3244898	37.5	93.7	21.78183673	13.68	30.61	0.024489796	0	0	0	0
108	6/14/2020	63.77021277	41.8	91.2	21.1387234	12.59	28.32	0	0	0	0	0
109	6/15/2020	72.49387755	53.8	93.7	20.9877551	16.39	27.24	0.020408163	0	0	0	0
110	6/16/2020	70.94680851	41.5	95	21.84425532	16.17	29.37	0.017021277	0	0	0	0
111	6/17/2020	62.14583333	43.7	84.5	22.85354167	17.67	28.59	0	0	0	0	0
112	6/18/2020	49.83541667	32.2	68.4	22.93979167	14.84	28.65	0	0	0	0	0
113	6/19/2020	48.45625	27.3	82.9	22.30020833	11.47	29.44	0	0	0	0	0
114	6/20/2020	54.39375	27.6	89	22.19041667	11.95	30.55	0	0	0	0	0
115	6/21/2020	53.99375	33.6	74.4	23.64125	15.63	30.91	0	1	1	0	0
116	6/22/2020	48.09583333	27	70.8	26.03770833	17.97	34.57	0	1	1	0	0
117	6/23/2020	44.19583333	26.4	63.3	26.546875	18.29	35.03	0	1	1	0	0
118	6/24/2020	54.41666667	37.8	82.4	24.64583333	14.71	32.13	0	1	1	0	0
119	6/25/2020	63.225	34.1	88.3	24.58645833	16.07	34.59	0	1	1	0	0
120	6/26/2020	62.76458333	30.5	93	24.49479167	14.61	35.37	0	0	0	0	0
121	6/27/2020	49.73541667	30.8	75.5	26.97375	18.13	35.31	0	0	0	0	0
122	6/28/2020	51.22916667	33.9	71.2	27.74083333	19.83	36.49	0	0	0	0	0
123	6/29/2020	44.64791667	34.1	57.9	28.168125	20.68	33.33	0	0	0	0	0
124	6/30/2020	49.54166667	33.4	85	28.18583333	17.76	35.25	0	0	0	0	0
125	7/1/2020	43.03958333	29.3	65.2	28.269375	20.21	35.43	0	0	0	0	0
126	7/2/2020	59.11666667	41.4	83.8	27.47854167	20.94	35.41	0	1	1	0	0
127	7/3/2020	69.94375	43.4	90.1	24.845	19.16	33.08	0.008333333	1	1	0	0
128	7/4/2020	65.51041667	39.7	96.1	24.80791667	19.59	31.67	0	1	1	0	0
129	7/5/2020	54.125	33.6	81	25.96833333	17.55	33.81	0	1	1	0	0
130	7/6/2020	52.28958333	33.8	75.8	27.52770833	18.75	35.94	0	1	1	0	0
131	7/7/2020	60.80416667	33.7	82.5	22.44625	15.63	27.78	0	0	0	0	0
132	7/8/2020	53.73333333	32	79.7	22.39375	13.01	31.32	0	0	0	0	0
133	7/9/2020	50.55833333	30.2	75.4	25.12395833	16.6	34.06	0	0	0	0	0
134	7/10/2020	53.40208333	36.2	73.2	26.87416667	19.07	35.81	0	0	0	0	0
135	7/11/2020	56.80816327	31.8	94.3	26.15897959	19.15	35.97	0.036734694	0	0	0	0
136	7/12/2020	68.90212766	37.3	95.7	23.19574468	16.76	29.08	0	0	0	0	0
137	7/13/2020	56.30625	27.9	87.5	21.80270833	14.02	29.58	0	1	1	0	0
138	7/14/2020	50.18541667	29.1	73.9	21.79708333	13.19	29.77	0	1	1	0	0
139	7/15/2020	52.525	28.8	75.9	22.25479167	15.27	31.57	0	1	1	0	0
140	7/16/2020	60.59791667	35.6	89.5	23.95645833	15.5	32.57	0	1	1	0	0
141	7/17/2020	72.10816327	48.9	88.3	22.20265306	18.1	28.85	0.028571429	1	1	0	0
142	7/18/2020	56.84255319	29.5	94.2	22.97914894	17.03	29.5	0.042553191	0	0	0	0
143	7/19/2020	50.17083333	34.7	71.1	23.53916667	15.03	31.81	0	0	0	0	0
144	7/20/2020	54.28125	34.3	75	25.99854167	18.06	35.17	0	0	0	0	0
145	7/21/2020	52.63958333	33.3	78.6	27.28458333	18.52	36.74	0	0	0	0	0
146	7/22/2020	56.78333333	41.2	76.5	27.686875	21.15	35.72	0	0	0	0	0
147	7/23/2020	63.12083333	39.6	85.4	26.57625	19.71	34.06	0	0	0	0	0
148	7/24/2020	83.91632653	58	92.9	21.19918367	17.37	30.22	0.13877551	1	1	0	0
149	7/25/2020	59.80833333	31.2	91.8	24.35583333	15.97	32.46	0	1	1	0	0
150	7/26/2020	50.94375	26.6	76.4	26.48375	17.97	34.96	0	1	1	0	0
151	7/27/2020	54.7875	33.8	80.5	26.306875	17.38	35.34	0	1	1	0	0
152	7/28/2020	54.87083333	36.3	73.7	27.69208333	20.1	36.41	0	1	1	0	0
153	7/29/2020	59.01666667	41.5	81.7	28.568125	20.56	36.83	0	0	0	0	0
154	7/30/2020	58.77083333	40.8	82	29.09041667	20.22	37.66	0	0	0	0	0
155	7/31/2020	58.58958333	40.2	75.1	28.53083333	22.8	38.42	0	0	0	0	0
156	8/1/2020	53.67083333	36.3	71.9	30.25041667	21.91	39.04	0	0	0	0	0
157	8/2/2020	63.67916667	45	85.4	27.86729167	22.13	34.38	0	0	1	1	0
158	8/3/2020	78.2244898	53.3	91.8	23.99469388	18.41	28.47	0.032653061	0	1	1	0
159	8/4/2020	86.07291667	59.1	97.5	18.91541667	14.99	25.23	0.083333333	0	1	1	0
160	8/5/2020	76.63191489	52.5	96.1	21.12893617	16.73	26.83	0.195744681	0	1	1	0
161	8/6/2020	69.72291667	46.6	89.5	23.10875	16.88	29.55	0	0	1	1	0
162	8/7/2020	65.27234043	40.3	89.1	25.15680851	17.73	32.89	0	0	0	0	0
163	8/8/2020	55.99583333	33.3	78.8	26.84270833	19.29	34.7	0	0	0	0	0
164	8/9/2020	52.80208333	32.3	75.5	27.851875	19.57	36.68	0	0	0	0	0
165	8/10/2020	53	33.1	71.6	27.64125	19.55	36.22	0	0	0	0	0
166	8/11/2020	56.76666667	33	77.9	28.14104167	20.83	36.55	0	0	0	0	0
167	8/12/2020	60.69791667	38.2	80.6	27.59416667	20.33	35.81	0	0	0	0	0
168	8/13/2020	56.14583333	25.1	78.1	28.273125	20.43	37.56	0	0	0	0	0
169	8/14/2020	60.32857143	35.7	93.9	26.96755102	20.53	35.98	0.036734694	0	0	0	0
170	8/15/2020	74.21489362	46.8	96.9	25.67382979	18.71	34.07	0.004255319	0	0	0	0
171	8/16/2020	63.90208333	42.8	88.4	26.36166667	18.65	34.92	0	0	0	0	0
172	8/17/2020	54.12916667	28.3	77.3	26.089375	18.49	34.68	0	0	0	0	0
173	8/18/2020	68.21020408	44.8	91.1	24.20612245	19.6	31.57	0.195918367	0	0	0	0
174	8/19/2020	72.43333333	42.5	95.4	24.89145833	17.74	32.98	0	0	0	0	0
175	8/20/2020	61.79791667	35.9	86.9	26.04229167	18.8	35.02	0	0	0	0	0
176	8/21/2020	58.70625	35	81.4	27.313125	19.94	36.49	0	0	0	0	0
177	8/22/2020	47.21041667	23.9	73.7	28.96395833	20.52	38.93	0	0	0	0	0
178	8/23/2020	59.00416667	41.7	81.6	27.30354167	19.5	34.73	0	0	0	0	0
179	8/24/2020	68.69166667	44.7	93.9	24.94229167	18.79	32.08	0	0	0	0	0
180	8/25/2020	62.61666667	35.5	93.3	25.03708333	17.35	32.36	0	0	0	0	0
181	8/26/2020	57.52708333	32.9	83.6	27.00729167	18.3	35.46	0	0	0	0	0
182	8/27/2020	61.98125	39.3	84.7	26.87291667	19.17	34.78	0	0	0	0	0
183	8/28/2020	57.87916667	33.6	87.4	27.06104167	18.25	34.92	0	0	0	0	0
